Time (seconds)	TX1 (dB)	TX2 (dB)	TX3 (dB)	TX4 (dB)	TX5 (dB)	TX6 (dB)	TX7 (dB)	TX8 (dB)	
1.5833	-69.6367+0.7504i	-76.4148+0.7504i	-77.3591+0.7504i	-92.2853+0.7504i	-68.0942+0.7504i	-75.8705+0.7504i	-57.4053+0.7504i	-92.2999+0.7504i
1.6000	-69.6465+0.7504i	-76.5219+0.7504i	-77.3587+0.7504i	-92.2896+0.7504i	-68.0305+0.7504i	-75.7884+0.7504i	-57.4255+0.7504i	-92.2867+0.7504i
1.6167	-69.6038+0.7504i	-76.6219+0.7504i	-77.3614+0.7504i	-92.2948+0.7504i	-68.0054+0.7504i	-75.7824+0.7504i	-57.4421+0.7504i	-92.2725+0.7504i
1.6333	-69.5006+0.7504i	-76.7089+0.7504i	-77.3674+0.7504i	-92.3008+0.7504i	-68.0074+0.7504i	-75.8768+0.7504i	-57.4538+0.7504i	-92.2593+0.7504i
1.6500	-69.3532+0.7504i	-76.7891+0.7504i	-77.3810+0.7504i	-92.3090+0.7504i	-68.0138+0.7504i	-76.0835+0.7504i	-57.4591+0.7504i	-92.2491+0.7504i
1.6667	-69.1993+0.7504i	-76.8901+0.7504i	-77.4094+0.7504i	-92.3239+0.7504i	-67.9918+0.7504i	-76.3826+0.7504i	-57.4528+0.7504i	-92.2408+0.7504i
1.6833	-69.0736+0.7504i	-77.0412+0.7504i	-77.4532+0.7504i	-92.3496+0.7504i	-67.9130+0.7504i	-76.7462+0.7504i	-57.4277+0.7504i	-92.2305+0.7504i
1.7000	-68.9973+0.7504i	-77.2552+0.7504i	-77.5114+0.7504i	-92.3912+0.7504i	-67.7641+0.7504i	-77.1688+0.7504i	-57.3799+0.7504i	-92.2144+0.7504i
1.7167	-68.9849+0.7504i	-77.5185+0.7504i	-77.5768+0.7504i	-92.4507+0.7504i	-67.5463+0.7504i	-77.6565+0.7504i	-57.3116+0.7504i	-92.1917+0.7504i
1.7333	-69.0473+0.7504i	-77.7910+0.7504i	-77.6387+0.7504i	-92.5302+0.7504i	-67.2700+0.7504i	-78.1879+0.7504i	-57.2332+0.7504i	-92.1662+0.7504i
1.7500	-69.1745+0.7504i	-78.0269+0.7504i	-77.6850+0.7504i	-92.6145+0.7504i	-66.9590+0.7504i	-78.6928+0.7504i	-57.1600+0.7504i	-92.1434+0.7504i
1.7667	-69.3349+0.7504i	-78.1901+0.7504i	-77.7059+0.7504i	-92.6866+0.7504i	-66.6504+0.7504i	-79.0911+0.7504i	-57.1057+0.7504i	-92.1273+0.7504i
1.7833	-69.4907+0.7504i	-78.2808+0.7504i	-77.6998+0.7504i	-92.7379+0.7504i	-66.3769+0.7504i	-79.3547+0.7504i	-57.0818+0.7504i	-92.1200+0.7504i
1.8000	-69.6152+0.7504i	-78.3341+0.7504i	-77.6661+0.7504i	-92.7608+0.7504i	-66.1726+0.7504i	-79.5216+0.7504i	-57.0925+0.7504i	-92.1218+0.7504i
1.8167	-69.6811+0.7504i	-78.3732+0.7504i	-77.6110+0.7504i	-92.7544+0.7504i	-66.0663+0.7504i	-79.6652+0.7504i	-57.1354+0.7504i	-92.1310+0.7504i
1.8333	-69.6673+0.7504i	-78.3955+0.7504i	-77.5440+0.7504i	-92.7224+0.7504i	-66.0789+0.7504i	-79.8648+0.7504i	-57.2029+0.7504i	-92.1443+0.7504i
1.8500	-69.5674+0.7504i	-78.3891+0.7504i	-77.4765+0.7504i	-92.6769+0.7504i	-66.1970+0.7504i	-80.2066+0.7504i	-57.2878+0.7504i	-92.1590+0.7504i
1.8667	-69.3994+0.7504i	-78.3438+0.7504i	-77.4119+0.7504i	-92.6244+0.7504i	-66.3737+0.7504i	-80.7976+0.7504i	-57.3827+0.7504i	-92.1737+0.7504i
1.8833	-69.2000+0.7504i	-78.2697+0.7504i	-77.3499+0.7504i	-92.5687+0.7504i	-66.5545+0.7504i	-81.7290+0.7504i	-57.4784+0.7504i	-92.1882+0.7504i
1.9000	-69.0019+0.7504i	-78.1915+0.7504i	-77.2909+0.7504i	-92.5133+0.7504i	-66.7093+0.7504i	-83.0471+0.7504i	-57.5641+0.7504i	-92.2013+0.7504i
1.9167	-68.8270+0.7504i	-78.1314+0.7504i	-77.2369+0.7504i	-92.4606+0.7504i	-66.8194+0.7504i	-84.7642+0.7504i	-57.6324+0.7504i	-92.2111+0.7504i
1.9333	-68.6866+0.7504i	-78.1003+0.7504i	-77.1867+0.7504i	-92.4090+0.7504i	-66.8772+0.7504i	-86.9133+0.7504i	-57.6835+0.7504i	-92.2166+0.7504i
