Time (seconds)	Synchronized Synthetic MI Data (dB)	
12.9305	-57.3009+0.7896i
12.9639	-57.8977+0.7896i
12.9972	-58.5225+0.7896i
13.0305	-59.1590+0.7896i
13.0638	-59.7905+0.7896i
13.0972	-60.3346+0.7896i
13.1305	-60.8159+0.7896i
13.1638	-61.1897+0.7896i
13.1971	-61.4603+0.7896i
13.2305	-61.7341+0.7896i
13.2638	-61.9424+0.7896i
13.2971	-62.1815+0.7896i
13.3304	-62.4763+0.7896i
13.3638	-62.7416+0.7896i
13.3971	-63.0430+0.7896i
13.4304	-63.3736+0.7896i
13.4638	-63.7123+0.7896i
13.4971	-63.9641+0.7896i
13.5304	-64.3354+0.7896i
13.5637	-64.7280+0.7896i
13.5971	-65.0997+0.7896i
13.6304	-65.4118+0.7896i
13.6637	-65.6936+0.7896i
13.6970	-65.9091+0.7896i
13.7304	-66.1160+0.7896i
13.7637	-66.3668+0.7896i
13.7970	-66.4156+0.7896i
13.8303	-66.4223+0.7896i
13.8637	-66.3834+0.7896i
13.8970	-66.3242+0.7896i
13.9303	-66.2098+0.7896i
13.9636	-66.1200+0.7896i
13.9970	-65.9946+0.7896i
14.0303	-65.8630+0.7896i
14.0636	-65.7565+0.7896i
14.0969	-65.5786+0.7896i
14.1303	-65.4070+0.7896i
14.1636	-65.2481+0.7896i
14.1969	-65.0676+0.7896i
14.2303	-64.9126+0.7896i
14.2636	-64.7762+0.7896i
14.2969	-64.6255+0.7896i
14.3302	-64.5129+0.7896i
14.3636	-64.3520+0.7896i
14.3969	-64.2596+0.7896i
14.4302	-64.1332+0.7896i
14.4635	-63.9936+0.7896i
14.4969	-63.8174+0.7896i
14.5302	-63.6131+0.7896i
14.5635	-63.3843+0.7896i
14.5968	-63.1312+0.7896i
14.6302	-62.8620+0.7896i
14.6635	-62.6237+0.7896i
14.6968	-62.3900+0.7896i
14.7301	-62.1256+0.7896i
14.7635	-61.8597+0.7896i
14.7968	-61.5582+0.7896i
14.8301	-61.2162+0.7896i
14.8634	-60.8645+0.7896i
14.8968	-60.5001+0.7896i
14.9301	-60.0836+0.7896i
14.9634	-59.6547+0.7896i
14.9968	-59.2215+0.7896i
15.0301	-58.7851+0.7896i
15.0634	-58.3572+0.7896i
15.0967	-57.9593+0.7896i
