Time (seconds)	Synchronized Synthetic MI Data (S_21 (dB))	
13.1305	-57.8475+0.7896i
13.1638	-57.9311+0.7896i
13.1972	-57.8666+0.7896i
13.2305	-57.8037+0.7896i
13.2638	-57.7425+0.7896i
13.2972	-57.3519+0.7896i
13.3305	-56.8659+0.7896i
13.3638	-56.2484+0.7896i
13.3971	-55.4356+0.7896i
13.4305	-54.4638+0.7896i
13.4638	-53.2655+0.7896i
13.4971	-52.0000+0.7896i
13.5304	-50.7294+0.7896i
13.5638	-49.5255+0.7896i
13.5971	-48.4149+0.7896i
13.6304	-47.4969+0.7896i
13.6637	-46.7070+0.7896i
13.6971	-46.1365+0.7896i
13.7304	-45.8049+0.7896i
13.7637	-45.6725+0.7896i
13.7970	-45.6891+0.7896i
13.8304	-45.9100+0.7896i
13.8637	-46.2721+0.7896i
13.8970	-46.8617+0.7896i
13.9303	-47.6977+0.7896i
13.9637	-48.7420+0.7896i
13.9970	-49.9914+0.7896i
14.0303	-51.3026+0.7896i
14.0637	-52.6229+0.7896i
14.0970	-53.8146+0.7896i
14.1303	-54.7984+0.7896i
14.1636	-55.4734+0.7896i
14.1970	-55.8238+0.7896i
14.2303	-55.8295+0.7896i
14.2636	-55.5622+0.7896i
14.2969	-54.9928+0.7896i
14.3303	-54.1813+0.7896i
14.3636	-53.2003+0.7896i
14.3969	-52.0204+0.7896i
14.4302	-50.7015+0.7896i
14.4636	-49.3839+0.7896i
14.4969	-48.0337+0.7896i
14.5302	-46.7628+0.7896i
14.5635	-45.5336+0.7896i
14.5969	-44.4071+0.7896i
14.6302	-43.4178+0.7896i
14.6635	-42.6452+0.7896i
14.6969	-42.2970+0.7896i
14.7302	-42.2804+0.7896i
14.7635	-42.3316+0.7896i
14.7968	-42.5022+0.7896i
14.8302	-42.9143+0.7896i
14.8635	-43.3691+0.7896i
14.8968	-44.0441+0.7896i
14.9301	-44.9601+0.7896i
14.9635	-46.0562+0.7896i
14.9968	-47.2773+0.7896i
15.0301	-48.5742+0.7896i
15.0634	-49.8699+0.7896i
15.0968	-51.0952+0.7896i
15.1301	-52.1117+0.7896i
15.1634	-53.0134+0.7896i
15.1967	-53.7171+0.7896i
15.2301	-54.2517+0.7896i
15.2634	-54.6382+0.7896i
15.2967	-54.8766+0.7896i
15.3300	-55.0048+0.7896i
15.3634	-55.0383+0.7896i
15.3967	-55.0307+0.7896i
15.4300	-54.9983+0.7896i
15.4634	-54.8706+0.7896i
15.4967	-54.6664+0.7896i
15.5300	-54.3678+0.7896i
15.5633	-53.9419+0.7896i
15.5967	-53.3544+0.7896i
15.6300	-52.6719+0.7896i
15.6633	-51.9003+0.7896i
15.6966	-51.0946+0.7896i
15.7300	-50.3815+0.7896i
15.7633	-49.7159+0.7896i
15.7966	-49.1995+0.7896i
15.8299	-48.8633+0.7896i
15.8633	-48.6480+0.7896i
15.8966	-48.5749+0.7896i
15.9299	-48.5949+0.7896i
15.9632	-48.5926+0.7896i
15.9966	-48.5814+0.7896i
16.0299	-48.5659+0.7896i
16.0632	-48.5348+0.7896i
16.0966	-48.4762+0.7896i
16.1299	-48.4696+0.7896i
16.1632	-48.4737+0.7896i
16.1965	-48.4981+0.7896i
16.2299	-48.6064+0.7896i
16.2632	-48.8282+0.7896i
16.2965	-49.1819+0.7896i
16.3298	-49.6879+0.7896i
16.3632	-50.3351+0.7896i
16.3965	-51.1249+0.7896i
16.4298	-52.0283+0.7896i
16.4631	-53.0048+0.7896i
16.4965	-54.0243+0.7896i
16.5298	-54.9782+0.7896i
16.5631	-55.8535+0.7896i
16.5964	-56.6327+0.7896i
16.6298	-57.2667+0.7896i
16.6631	-57.7490+0.7896i
16.6964	-58.0406+0.7896i
16.7297	-58.1104+0.7896i
16.7631	-58.0203+0.7896i
16.7964	-57.9145+0.7896i
16.8297	-57.8856+0.7896i
16.8631	-57.9081+0.7896i
16.8964	-57.9407+0.7896i
16.9297	-57.9306+0.7896i
16.9630	-57.9015+0.7896i
16.9964	-57.8810+0.7896i
17.0297	-57.8848+0.7896i
17.0630	-57.9081+0.7896i
17.0963	-57.9261+0.7896i
17.1297	-57.9195+0.7896i
